Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Provision of Blackpool Beach Management Ground Investigation,None,Opportunity,Open,FY1 3AH,"2 October 2023,  2pm","£400,000","18 August 2023, last edited 31 August 2023"
Request for Quotations for Cambridgeshire International Road Assessment Programme (iRAP),None,Opportunity,Open,PE28 4YE,"29 September 2023, 12pm","£50,000 to £100,000","31 August 2023, last edited 31 August 2023"
A47 Wansford to Sutton Dualling Scheme - Ground Investigation (GI) Works,None,Early engagement,Open,East of England,13 September 2023,"Publication date31 August 2023, last edited 31 August 2023",None
Ightenhill Primary School - Replacement of Asbestos Roof Tiles (phase 1),None,Opportunity,Open,North West,"12 September 2023, 10am","£225,000",31 August 2023
Tender for the provision of an Integrated Health and Wellbeing Service.,None,Opportunity,Open,South East,"18 September 2023, 12pm","£6,439,500","31 July 2023, last edited 31 August 2023"
Mechanical Equipment and Plant: Servicing and Responsive Maintenance,None,Opportunity,Open,Yorkshire and the Humber,"5 October 2023, 12pm","£35,000,000 to £105,000,000",31 August 2023
CA12703 - DIXONS ACADEMIES TRUST - EMPLOYEE ASSISTANCE PROGRAMME AND EMPLOYEE HEALTHCARE CASH PLAN,None,Opportunity,Open,BD5 7RR,"15 September 2023,  1pm",£0,"2 August 2023, last edited 31 August 2023"
Overnight Residential Short Breaks,None,Opportunity,Open,England,"29 September 2023, 12pm","£2,436,000",31 August 2023
"Changing Places Facilities - Teignbridge, Devon, UK",None,Opportunity,Open,South West,"22 September 2023, 12pm",£0,"30 August 2023, last edited 31 August 2023"
GSS23415 PCA communications programme,None,Opportunity,Open,United Kingdom,"21 September 2023,  2pm","£50,000",31 August 2023
Off Street Parking Management Services,None,Opportunity,Open,East of England,"20 September 2023,  1pm","£1,750,000","8 August 2023, last edited 31 August 2023"
Custody Healthcare - 6 Forces,None,Opportunity,Open,IP5 3QS,"6 October 2023, 12pm","£51,000,000 to £51,528,029","21 August 2023, last edited 31 August 2023"
P1005 - Adult Weight Management App,None,Opportunity,Open,B4 7WB,"2 October 2023, 12pm",£0,31 August 2023
CEFAS23-98 RFQ for variety of activities in Africa supporting Cefas' international programmes,None,Opportunity,Open,Any region,"19 September 2023, 12pm","£40,000 to £60,000",31 August 2023
GB-Liverpool: 315 Park Road Roof Refurbishment Works,None,Opportunity,Open,North West,"28 September 2023,  9:30am","£50,000 to £100,000",31 August 2023
Consultants Brief Options Appraisals for Capital Delivery Contracts.,None,Opportunity,Open,CR0 1EA,"18 September 2023, 12pm",£0,31 August 2023
"One Horton Heath, Lower Acre, Parcel 1 - Piled Raft Foundations",None,Opportunity,Open,United Kingdom,"30 September 2023, 12pm","£1,350,000",31 August 2023
Home Support Principal Provider for East/NN4 Primary Care Networks,None,Opportunity,Open,NR1 2DH,"2 October 2023,  2pm","£0 to £50,000,000",31 August 2023
A417 Missing Link -  Survey Control Points & Topographical Surveys,None,Opportunity,Open,South West,"29 September 2023,  5pm","£150,000",31 August 2023
Tender for the Installation and Removal of a Festival Lighting Scheme for Oadby & Wigston Borough Council and Hinckley & Bosworth Borough Council,None,Opportunity,Open,LE18 2DR,"21 September 2023, 12pm","£260,000","22 August 2023, last edited 31 August 2023"
Bridge Maintenance & Masonry Repairs 2023,None,Opportunity,Open,Yorkshire and the Humber,"4 October 2023, 12pm","£750,000 to £3,000,000",31 August 2023
EXTENDED DETECTION AND RESPONSE (XDR) - Market Engagement,None,Early engagement,Open,Any region,15 September 2023,Publication date31 August 2023,None
A417 Missing Link -  Compound Drainage and Earthworks,None,Opportunity,Open,South West,"29 September 2023,  5pm","£250,000",31 August 2023
Voids and Temporary Accommodation Voids Works,None,Opportunity,Open,England,"3 October 2023,  2pm","£59,000,000",31 August 2023
A417 Missing Link -  Compound Road Markings,None,Opportunity,Open,South West,"6 October 2023,  5pm","£10,000",31 August 2023
RN Develop Concept Cards - RFI,None,Early engagement,Open,Any region,31 October 2023,Publication date31 August 2023,None
Autumn Winter 2023 Events Programme Security Provision,None,Opportunity,Open,B69 3DE,"14 September 2023,  3pm","£25,000 to £35,000","31 August 2023, last edited 31 August 2023"
A417 Missing Link -  Compound Pavement,None,Opportunity,Open,South West,"6 October 2023,  5pm","£200,000",31 August 2023
A417 Missing Link -  Compound Fencing,None,Opportunity,Open,South West,"6 October 2023,  5pm","£20,000",31 August 2023
"A417 Missing Link - Fly Up Drainage, Earthworks & Kerbs",None,Opportunity,Open,South West,"6 October 2023,  5pm","£100,000",31 August 2023
NHSE886 ITT Primary Care General Dental Services,None,Opportunity,Open,Yorkshire and the Humber,"2 October 2023, 12pm","£16,107,505",31 August 2023
UID10876 Trafford Smoking Cessation Service for People with Severe Mental Illness - REQUEST FOR QUOTATION,None,Early engagement,Open,England,30 November 2023,Publication date31 August 2023,None
A417 Missing Link - Fly Up Access Road Pavement,None,Opportunity,Open,South West,"6 October 2023,  5pm","£60,000","31 August 2023, last edited 31 August 2023"
A417 Missing Link - Road Widening Pavement,None,Opportunity,Open,South West,"15 September 2023,  5pm","£60,000",31 August 2023
Falmouth Bay to St Austell Bay SPA Maerl Mapping Project Technical analysis and reporting of acoustic and drop-down video survey data obtained from maerl habitat,None,Opportunity,Open,South West,"11 September 2023,  5pm","£5,000 to £15,000","18 August 2023, last edited 31 August 2023"
Tameside IRIS Programme,None,Early engagement,Open,England,30 November 2023,Publication date31 August 2023,None
A417 Missing Link - Site Clearance (Vegetation),None,Opportunity,Open,South West,"15 September 2023,  5pm","£500,000",31 August 2023
Housing Management System Implementation,None,Opportunity,Open,England,"2 October 2023, 12pm","£911,000 to £1,111,000",31 August 2023
"PIN - Market Engagement for Contract for The Development of Chester and Delamere Street Carparks, Crewe",None,Early engagement,Open,England,26 September 2023,Publication date31 August 2023,None
Autumn Winter 2023 Events Programme Medical Provision,None,Opportunity,Open,B69 3DE,"14 September 2023,  3pm","£20,000 to £30,000",31 August 2023
"PIN - Market Engagement Contract for the Development of Mountview (former care home), Congleton",None,Early engagement,Open,England,26 September 2023,Publication date31 August 2023,None
GB-Kings Lynn: Reinstatement of a Tabletop Tomb in West Lynn,None,Opportunity,Open,East of England,"2 October 2023, 12pm","£10,000 to £25,000",31 August 2023
Collation of evidence for a U.K. definition of Favourable Conservation Status for sandbanks and other sublittoral sediment habitat types,None,Opportunity,Open,England,"19 September 2023,  5pm","£20,000 to £49,999",31 August 2023
RFI - EME - T31 57mm and 40mm Operational and Training Naval Ammunition,None,Early engagement,Open,Any region,14 September 2023,"Publication date31 August 2023, last edited 31 August 2023",None
Project 1814 - Fairways Primary and Chalkwell Infants Door Security,None,Opportunity,Open,England,"28 September 2023, 12pm","£70,000",31 August 2023
Watersports Concession at Branksome Dene Chine,None,Opportunity,Open,South West,"2 October 2023,  2pm","£6,000",31 August 2023
Interdisciplinary workshop facilitation,None,Opportunity,Open,England,"12 September 2023, 12pm","£25,000 to £40,000","15 August 2023, last edited 31 August 2023"
GB-London: Suicide Prevention Case Studies,None,Opportunity,Open,London,"12 September 2023,  5pm","£0 to £10,000",31 August 2023
Technical support for the systematic assessment of operator submissions for improvement conditions (ICs) on a national basis,None,Opportunity,Open,United Kingdom,"22 September 2023, 11:59pm","£30,000 to £50,000","14 August 2023, last edited 31 August 2023"
Provision of a Fleet Management System,None,Opportunity,Open,England,"27 September 2023, 12pm","£50,000 to £100,000","31 August 2023, last edited 31 August 2023"
Q20525 - City Centre ATF,None,Opportunity,Open,England,"16 October 2023, 11am","£2,000,000",31 August 2023
Northumberland Small Business Service - Delivery of Enterprise and Business Start Up support,None,Opportunity,Open,United Kingdom,"20 September 2023,  5pm","£100,000","31 August 2023, last edited 31 August 2023"
Voidcare Solution,None,Opportunity,Open,England,"25 September 2023, 12pm","£1,000",31 August 2023
Provision of replacement waste storage facilities at approved housing stock sites across Barnsley Council,None,Opportunity,Open,Yorkshire and the Humber,"27 September 2023, 12pm","£0 to £79,200",31 August 2023
CCTV & Security Systems Maintenance and Repair,None,Opportunity,Open,South West,"21 September 2023, 12pm","£250,000",31 August 2023
Interior Designer for Show Home - Winchcombe,None,Opportunity,Open,England,"21 September 2023, 12pm","£40,000","31 August 2023, last edited 31 August 2023"
INVITATION TO TENDER - for the Provision of Solar PV installations for West Suffolk Council at sites in West Suffolk - 8 Lots,None,Opportunity,Open,IP33 3YU,"28 September 2023,  5pm","£880,000 to £920,000",31 August 2023
Audit & Assurance Services Two (A&AS2),None,Future opportunity,Open,United Kingdom,Approach to market date13 January 2025,"£400,000,000",31 August 2023
Management Consultancy Framework Four (MCF4),None,Future opportunity,Open,United Kingdom,Approach to market date12 August 2024,"£5,700,000,000",31 August 2023
WCC - Refresh Community Short Breaks for Children with Disabilities in South Warwickshire,None,Opportunity,Open,CV34 4RL,"16 October 2023, 10am","£0 to £100,000",31 August 2023
Walter Preston Court - Plant Room Refurbishment,None,Opportunity,Open,GL5 4LJ,"29 September 2023, 12pm","£200,000",31 August 2023
NHS Cheshire and Merseyside ICB - Intermediate Care Beds,None,Opportunity,Open,North West,"29 September 2023, 12pm","£11,000,000",31 August 2023
"AT1228 Curtain Walling & Canopy to Buckle Close, Luton",None,Opportunity,Open,LU1 2BQ,"29 September 2023,  5pm","£145,000",31 August 2023
Seton Hall - Fencing,None,Opportunity,Open,England,"18 September 2023,  5pm","£175,000",31 August 2023
"Multi-level, Mass Fatalities Body Storage capability",None,Early engagement,Open,SW1P 4DF,11 September 2023,Publication date31 August 2023,None
Professional Minute-Taking Services,None,Opportunity,Open,EC2Y 5AS,"19 September 2023, 12pm","£0 to £165,000",31 August 2023
GB-Shrewsbury: DONV 024 - The Delivery of a Business Case and Implementation Plan for the River Clun Special Area of Conservation Catchment Area,None,Opportunity,Open,West Midlands,"21 September 2023, 12pm","£50,000 to £100,000",31 August 2023
Early Release on Compassionate Grounds - Future Opportunity,None,Future opportunity,Open,Any region,Approach to market date2 October 2023,"£75,000",31 August 2023
Decarbonisation Retro-Fit Framework (Including Refurbishment works) Scotland & Northern Ireland,None,Opportunity,Open,"Scotland, Northern Ireland","26 September 2023, 10am","£0 to £250,000,000","18 August 2023, last edited 31 August 2023"
Three Mills Green Surface Drainage - LVRPA2023/16,None,Opportunity,Open,EN2 9HG,"22 September 2023, 12pm",£0,"31 August 2023, last edited 31 August 2023"
ITT for the Supply of security seals,None,Opportunity,Open,MK19 7BH,"2 October 2023, 12pm","£300,000 to £500,000",31 August 2023
New Build Framework - Scotland & Northern Ireland,None,Opportunity,Open,"Scotland, Northern Ireland","29 September 2023, 10am","£250,000,000","24 August 2023, last edited 31 August 2023"
National Highways Meter Administration Services 2023-27,None,Early engagement,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West",26 September 2023,Publication date31 August 2023,None
External Fabric,None,Opportunity,Open,PE28 4NE,"17 September 2023, 11:59pm","£10,000",31 August 2023
Internal Fabric Wall Tiles in Toilets,None,Opportunity,Open,PE28 4NE,"17 September 2023, 11:59pm","£3,000",31 August 2023
UKRI-3187 Pulse Slicer Power Supply,None,Opportunity,Open,South East,"5 October 2023,  2pm","£1,000,000",31 August 2023
EBBC - Housing Subsidy Audit Services,None,Opportunity,Open,BN21 4TW,"28 September 2023,  2pm",£0,31 August 2023
CWC23111 Wolverhampton Young Peoples Activity Programme,None,Opportunity,Open,WV1 1SH,"25 September 2023, 12pm","£300,000",31 August 2023
Removal and Replacement of Mechanical Extract Fans,None,Opportunity,Open,PE30 5LJ,"17 September 2023, 11:59pm","£1,500",31 August 2023
L23047-T-TG Provision of Services to assist Disabled Persons and Persons with Reduced Mobility,None,Opportunity,Open,LU2 9LY,"30 September 2023, 12pm","£25,000,000 to £35,000,000","7 August 2023, last edited 31 August 2023"
The Basic and Life Skills Project for Ashfield,None,Opportunity,Open,United Kingdom,"15 September 2023, 12pm","£159,000",31 August 2023
RIS3 Renewals Investment Planning,None,Opportunity,Open,United Kingdom,"21 September 2023, 12pm","£50,000",31 August 2023
BioAFM System Integrating Atomic Force Microscopy with a Fluorescence Microscope,None,Opportunity,Open,CV4 7AL,"29 September 2023, 12pm","£0 to £901,000","30 August 2023, last edited 31 August 2023"
RAA Medical Advisor - Cambridgeshire & Peterborough,None,Opportunity,Open,England,"29 September 2023, 11:30pm","£35,000","29 August 2023, last edited 31 August 2023"
